Rule,Predicted_Class,Support,Confidence
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena <= -3.912) and (kurtosis.mean > 3.053) and (mad.mean <= 0.850),1,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena <= -3.912) and (kurtosis.mean > 3.053) and (mad.mean > 0.850),3,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin <= 2.000) and (iq_range.mean <= 0.203),1,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin <= 2.000) and (iq_range.mean > 0.203) and (LabelIssuesPerc <= 0.003),3,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin <= 2.000) and (iq_range.mean > 0.203) and (LabelIssuesPerc > 0.003) and (sparsity.mean <= 0.031) and (t_mean.mean <= 0.291),3,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin <= 2.000) and (iq_range.mean > 0.203) and (LabelIssuesPerc > 0.003) and (sparsity.mean <= 0.031) and (t_mean.mean > 0.291),3,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin <= 2.000) and (iq_range.mean > 0.203) and (LabelIssuesPerc > 0.003) and (sparsity.mean > 0.031),1,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio <= 0.250) and (nr_num <= 26.000),3,0.0024096385542168677,1.0
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio <= 0.250) and (nr_num > 26.000) and (LabelIssuesPerc <= 0.000),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio <= 0.250) and (nr_num > 26.000) and (LabelIssuesPerc > 0.000),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio > 0.250) and (nr_num <= 25.000),2,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio > 0.250) and (nr_num > 25.000) and (median.mean <= 0.454),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio > 0.250) and (nr_num > 25.000) and (median.mean > 0.454) and (nr_inst <= 347.500),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio > 0.250) and (nr_num > 25.000) and (median.mean > 0.454) and (nr_inst > 347.500) and (ClassOverlapPerc <= 0.000),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean <= 1.932) and (ena > -3.912) and (nr_bin > 2.000) and (ClassImbRatio > 0.250) and (nr_num > 25.000) and (median.mean > 0.454) and (nr_inst > 347.500) and (ClassOverlapPerc > 0.000),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean <= 1.558) and (h_mean.mean <= 1.306) and (inst_to_attr <= 9.900) and (skewness.mean <= -0.038),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean <= 1.558) and (h_mean.mean <= 1.306) and (inst_to_attr <= 9.900) and (skewness.mean > -0.038),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean <= 1.558) and (h_mean.mean <= 1.306) and (inst_to_attr > 9.900),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean <= 1.558) and (h_mean.mean > 1.306),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean > 1.558) and (ena <= 0.359),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean > 1.558) and (ena > 0.359) and (max.mean <= 15.566),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr > 17.500) and (iq_range.mean > 1.932) and (kurtosis.mean > 1.558) and (ena > 0.359) and (max.mean > 15.566),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean <= 1.679) and (max.mean <= 18.547),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean <= 1.679) and (max.mean > 18.547) and (var.mean <= 1165.978),1,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean <= 1.679) and (max.mean > 18.547) and (var.mean > 1165.978) and (skewness.mean <= 0.516),4,0.0024096385542168677,1.0
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean <= 1.679) and (max.mean > 18.547) and (var.mean > 1165.978) and (skewness.mean > 0.516),2,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean > 1.679) and (cov.mean <= 2.198) and (skewness.mean <= 0.332) and (snr.mean <= 6.831) and (ena <= -2.318),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean > 1.679) and (cov.mean <= 2.198) and (skewness.mean <= 0.332) and (snr.mean <= 6.831) and (ena > -2.318),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean > 1.679) and (cov.mean <= 2.198) and (skewness.mean <= 0.332) and (snr.mean > 6.831),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean > 1.679) and (cov.mean <= 2.198) and (skewness.mean > 0.332),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean > 6.038) and (OutlierPerc <= 0.007) and (nr_inst <= 1434.000) and (attr_ent.mean > 1.679) and (cov.mean > 2.198) and (attr_ent.mean <= 2.920) and (attr_conc.mean <= 0.054) and (t_mean.mean <= 116624.550),4,0.0024096385542168677,1.0
