Dataset,Domain,Bigdata,"Merge (train, test, validation)",Seperate label file,File conversion,Additional files,Multiple sheets,Missing data,Zip,Label,Preprocessing,Multiple files,Type of Preprocessing,Multiple Data files,Dataset characteristics,ML,On server,,,,,
Yeast (Imbalanced: 2 vs 4) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 2 vs 8) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 3) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 4 vs 0-5-6-7-9) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 4) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 5) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast (Imbalanced: 6) data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,Yes,,,,,,
Yeast Multi-class Imbalanced data set,Biology,No,No,No,No,No,No,No,No,No,Yes,No,Changed file name,1,,,,,,,,
yeast-5cn21-nc,Biology,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
Z-Alizadeh Sani Data Set,Health and Medicine,No,No,No,No,No,No,No,No,No,Yes,No,Deleted metadata,1,,,,,,,,
Zoo Data Set,Biology,No,No,No,No,No,No,No,No,No,No,No,,1,,Yes,,,,,,
